host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
4574,100.0,50.0,False,1,5,True,True,42.65789,-73.7537,7,0,4,1.0,2.0,2.0,70.0,28,1125,28,1125,28.0,1125.0,0,0,0,70,9,0,0,0,0,0,4034.0,1065.0,3.56,3.44,3.56,4.22,4.56,3.22,3.67,False,1,1,0,0.07,35.0,8
3997,100.0,98.0,True,4,7,True,True,42.65222,-73.76724,7,0,2,1.0,1.0,1.0,100.0,2,1125,2,1125,2.8,1125.0,8,30,60,335,308,6,0,176,15,36,3989.0,110.0,4.75,4.89,4.87,4.85,4.81,4.83,4.78,False,4,4,0,2.34,100.0,28
3779,100.0,99.0,True,2,2,True,True,42.64615,-73.75966,7,0,2,1.0,0.1,1.0,75.0,2,45,1,1125,1.3,1125.0,0,0,15,15,371,24,0,15,38,144,3723.0,151.0,4.51,4.62,4.45,4.81,4.88,4.76,4.64,False,2,1,1,3.02,750.0,33
3997,100.0,98.0,True,4,7,True,True,42.65222,-73.76724,7,0,2,1.0,1.0,1.0,95.0,2,1125,1,1125,2.7,1125.0,0,0,7,282,331,14,0,123,22,84,3693.0,158.0,4.73,4.83,4.71,4.82,4.7,4.8,4.72,False,4,4,0,2.72,95.0,31
4028,100.0,100.0,True,1,1,True,True,42.65559,-73.76506,7,0,4,1.0,1.0,2.0,86.0,1,1125,1,1125,1.0,1125.0,0,0,0,128,620,29,0,0,31,174,3266.0,70.0,4.8,4.86,4.83,4.95,4.93,4.87,4.77,False,1,1,0,5.76,86.0,33
3779,100.0,99.0,True,2,2,True,True,42.64734,-73.75851,16,1,2,1.0,1.0,2.0,52.0,1,60,1,60,1.0,60.0,18,34,47,223,418,34,2,160,42,204,3453.0,47.0,4.56,4.72,4.51,4.84,4.86,4.77,4.68,False,2,1,1,3.67,52.0,28
4492,95.0,95.0,True,2,3,True,False,42.66078,-73.80553,13,1,1,1.0,1.0,1.0,54.0,1,1125,1,1125,1.0,1125.0,16,36,64,153,792,133,4,153,128,255,3450.0,57.0,4.82,4.89,4.79,4.93,4.88,4.92,4.91,False,2,0,2,6.96,54.0,23
4615,100.0,89.0,True,8,13,True,True,42.67567,-73.82438,6,0,10,2.0,3.0,4.0,264.0,1,1124,1,1124,1.3,1124.0,20,37,67,326,188,30,2,168,34,180,3336.0,60.0,4.96,4.93,4.98,4.99,4.96,4.95,4.87,False,8,8,0,1.71,88.0,80
3364,100.0,75.0,False,2,2,True,True,42.65154,-73.76867,16,1,1,1.0,1.0,1.0,47.0,5,1125,5,1125,5.0,1125.0,23,41,70,344,28,0,0,186,1,0,1789.0,527.0,4.82,4.89,4.57,4.82,4.89,4.71,4.75,False,2,0,2,0.48,47.0,39
5006,100.0,100.0,False,1,5,True,True,42.66972,-73.82753,4,0,8,2.0,4.0,4.0,219.0,2,1125,2,1125,2.0,1125.0,11,23,42,306,189,12,1,149,15,72,3303.0,68.0,4.66,4.8,4.71,4.89,4.86,4.8,4.76,False,1,1,0,1.74,54.75,53
